2020-09-24 10:53:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:30 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:35 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:45 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:50 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:53:55 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:00 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:30 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:35 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:40 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:45 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:50 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:54:55 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:00 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:05 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:10 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:15 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:20 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 10:55:25 - WARNING - 33308 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:15:49 - INFO - 27764 - [modbus_connector.py] - modbus_connector - 67 - Starting Modbus connector name:AlarmLed
2020-09-24 11:15:54 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:15:59 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:05 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:11 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:16 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
2020-09-24 11:16:21 - WARNING - 33440 - [modbus_connector.py] - modbus_connector - 72 - Modbus trying reconnect to None
